legalRepresentative,qualityRepresentative,license,companyName,area,repositoryAddress,validTillDate,issuingAuthority,registrationAddress,licenseDate,businessScope,companyController
***,简晓红,鄂DB0272248,武汉初开堂药业有限公司六渡桥分店,江汉区,由武汉初开堂药业有限公司统一配送,2019-11-25,武汉市江汉区行政审批局,江汉区中山大道371号,20171013,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品***,桂世鹏
赵涛,王艳秋,鄂DB0279004,武汉市江夏区医药公司纸坊大药房安山分店,江夏区,------,2021-01-13,武汉市江夏区行政审批局,江夏区安山镇新街12号,20171012,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,周杨
----,阮班军,鄂CB0276079,湖北同济堂药房有限公司工业四路药店,青山区,由湖北同济堂药房有限公司统一配送,2020-11-11,武汉市青山区行政审批局,武汉市青山区工业四路丹青苑一号楼一楼,20171013,处方药(禁止类除外)、非处方药(甲类、乙类)、中成药、化学药制剂、抗生素制剂、生化药品、不含冷藏冷冻药品******,王天祺
***,关晓濛,鄂CB0272411,湖北同济堂药房有限公司同济堂新华路药店,江汉区,由湖北同济堂药房有限公司统一配送,2020-12-21,武汉市江汉区行政审批局,武汉市江汉区解放大道846号,20171011,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋
***,陈辉,鄂DB0279039,武汉市江夏区医药公司纸坊大药房法泗三分店,江夏区,－－－－－,2020-10-28,武汉市江夏区行政审批局,江夏区法泗街法泗洲路275号,20171012,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,周杨
伍翠兰,林宏熤,鄂DA2016011501,武汉市金世康大药房有限公司,洪山区,——,2021-01-14,武汉市洪山区行政审批局,武汉市洪山区青菱福星惠誉东澜岸37-1-1号,20171013,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)（含冷藏冷冻药品）***,伍翠兰
金斌,裴培,鄂DA0275509,武汉萍宇堂大药房有限公司,武昌区,--,2020-04-12,武汉市武昌区行政审批局,武昌区马蹄营41号2栋丙-1-1、1-2号,20171011,处方药、非处方药(甲类、乙类)：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,温杏娥
,刘阳,鄂CB0271133,湖北智仁大药房有限公司二七店,江岸区,,2021-04-05,武汉市江岸区食品药品监督管理局,武汉市江岸区新村街桃园1号楼13-16轴门面,20171011,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
--------,周念鹏,鄂CB0278093,武汉东明药房连锁有限公司同春堂分店,东西湖区,由武汉东明药房连锁有限公司统一配送,2020-12-29,武汉市东西湖区食品药品监督管理局,武汉市东西湖区卧龙丽景湾蓝山苑翡翠大道115号（12）号,20171010,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,汤明起
——,李路,鄂CB0276909,湖北省昌盛大药房有限公司保利城店,洪山区,由湖北省昌盛大药房有限公司统一配送,2022-10-10,武汉市洪山区行政审批局,武汉市洪山区保利城一期19号楼7号商铺,20171011,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,高惟学
姚锐,岳琼,鄂DA0276718,武汉敬仁堂大药房有限公司,东西湖区,***,2022-04-11,武汉市东西湖区食品药品监督管理局,武汉市东西湖区马池水产品公司（金银湖马池路、环湖路东）银湖水榭32栋1层1室,20171011,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,张淑琴
刘岗飞,夏宁,鄂DA0277034,武汉森之林大药房有限公司,洪山区,——,2019-08-25,武汉市洪山区行政审批局,洪山区万科金色城市二期18-7、10号楼商铺1层1号,20171011,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周从辉
李明,张雯瑾,鄂DA0276908,武汉正元国人大药房有限责任公司,江夏区,***,2022-10-10,武汉市江夏区行政审批局,武汉市江夏区藏龙岛栗庙村阳光100大湖第七期 第54幢1层16号,20171011,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,孙志敏
王正茂,刘瑛,鄂CB0279425,武汉市宏康大药房连锁有限公司民清药店,黄陂区,由武汉市宏康大药房连锁有限公司配送,2020-10-14,武汉市黄陂区市场监督管理局,黄陂区长岭镇民清街2号,20171010,处方药(禁止类除外)、非处方药、中药饮片;中成药、化学药制剂、抗生素制剂、生化药品、诊断药品、生物制品(除疫苗外)***,罗芙蓉
***,毛海荣,鄂CB0276910,湖北省昌盛大药房有限公司满庭春店,东湖新技术开发区,***,2022-10-11,武汉东湖新技术开发区市场监督管理局,武汉市东湖新技术开发区高新三路以北、光谷四路以西光谷满庭春MOMA一期第幢商7号,20171012,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,高惟学
李佳,赵勇海,鄂CB0276703,湖北人福药房连锁有限公司蓝光时代店,东湖新技术开发区,***,2022-03-31,武汉东湖新技术开发区市场监督管理局,武汉市东湖新技术开发区关东园五路6号蓝光COCO时代13幢13-112（右边）,20170928,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,杨仲文
***,乐丽华,鄂CB0279515,武汉济仁堂大药房连锁有限公司百秀店,黄陂区,由武汉济仁堂大药房连锁有限公司配送,2021-03-24,武汉市黄陂区市场监督管理局,黄陂区百秀街129号,20171010,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品***,熊蓓
——,龙斐,鄂CB2015081406,湖北心连心药房连锁有限责任公司汪家墩店,洪山区,由湖北心连心药房连锁有限责任公司统一配送,2020-08-13,武汉市洪山区行政审批局,武汉市洪山区徐东大街团结大道汪家墩东区团结名居3号楼1层,20170925,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖国祥
